hhcode,year,location,expenditure,food,micro,education1,education2,health,diversity,stunting,wasting,underweight,schooling,enrolled,illness1,illness2,large,small,poultry,animals,treated,head_age,elderly,head_sex,head_married,head_educ,head_sick,ovc,hhsize,age_5under,age_0617,age_1834,age_3549,age_5064,depend_ratio,sex_ratio,adult_educ,non_active,initial_exp,agriculture,salaried,casual,self,transfers,rooms,land,livestock,water,bike,radio,phone,mosquito,road,market,communication,electricity,district1,district2,district3,district4,district5,district6,sample_nutrition,sample_education
602000059,0,602,5429.934,81.33801,1384.101,300,0,83.33334,8,-3.962947,-0.0421543,-2.793856,0.4703309,100,100,100,0,0,0,0,1,36,0,1,0,7,0,5,8,1,4,2,1,0,0.625,0.625,0,3,5429.934,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
602000059,1,602,11587.8,55.01044,3735.827,25.4842,113.4047,326.1978,12,-2.260099,-0.6171372,-1.988205,-0.2293077,100,98.57143,40,0,0,0,0,1,36,0,1,0,7,0,5,8,1,4,2,1,0,0.625,0.625,0,3,5429.934,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
602000060,0,602,5081.43,74.21986,1808.546,10,83.33334,50,6,-3.61114,0.5357515,-2.041431,-1.804027,66.66667,100,100,0,0,5,5,1,35,0,1,0,5,0,3,8,2,3,1,1,0,0.75,0.5,0,0,5081.43,0,0,0,1,0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
602000060,1,602,5095.123,85.34707,620.5997,15.29052,25.4842,305.8104,4,-2.032304,-1.279282,-2.230844,-0.433221,100,100,100,0,0,0,0,1,35,0,1,0,5,0,3,8,2,3,1,1,0,0.75,0.5,0,0,5081.43,0,0,0,1,0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
602000061,0,602,18557.76,76.34412,12818.01,800,450,933.3333,10,,,,0.1785598,100,100,100,0,0,0,0,1,33,0,1,0,8,0,4,5,1,3,1,0,0,0.8,0.6,1,0,18557.76,1,0,0,1,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
602000061,1,602,9895.005,64.23406,3896.158,313.9653,356.7788,0,9,-1.225118,0.5651748,-0.3432068,0.1300969,100,70,60,0,3,20,23,1,33,0,1,0,8,0,4,5,1,3,1,0,0,0.8,0.6,1,0,18557.76,1,0,0,1,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
602000062,0,602,12188.8,83.83762,3098.847,400,50,116.6667,10,0.2183428,-0.3269439,-0.0274534,3.578694,100,100,100,0,0,0,0,1,53,0,1,0,0,0,4,10,4,3,1,1,1,0.7,0.6,1,0,12188.8,0,0,0,1,0,5,3,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
602000062,1,602,47808.01,28.63914,16829.9,1427.115,2831.804,0,12,-0.5929849,-2.086402,-1.601162,-0.2453104,100,95.35714,60,0,0,13,13,1,53,0,1,0,0,0,4,10,4,3,1,1,1,0.7,0.6,1,0,12188.8,0,0,0,1,0,5,3,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
602000063,0,602,3838.17,84.49782,1281.098,0,0,0,4,-0.6339226,0.1089251,-0.3099611,,,100,100,5,0,0,5,1,33,0,0,1,10,0,3,5,3,0,2,0,0,0.6,0.4,1,2,3838.17,0,0,1,0,0,3,0.5,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0
602000063,1,602,8875.586,75.34154,2741.765,96.33028,91.74312,152.9052,9,-0.9918793,-0.3977691,-0.85397,,,100,100,20,0,1,21,1,33,0,0,1,10,0,3,5,3,0,2,0,0,0.6,0.4,1,2,3838.17,0,0,1,0,0,3,0.5,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0
602000064,0,602,3079.487,63.83596,678.301,75,0,44,6,-3.419516,0.3835038,-1.816396,-0.7082478,66.66667,100,100,0,0,0,0,1,41,0,0,1,8,0,1,7,2,3,1,1,0,0.7142857,0.4285714,1,1,3079.487,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
602000064,1,602,7063.68,75.54647,701.1097,71.35576,107.0336,0,8,-1.84145,0.5303767,-0.9058348,-0.6630066,100,94.64285,71.42857,0,0,0,0,1,41,0,0,1,8,0,1,7,2,3,1,1,0,0.7142857,0.4285714,1,1,3079.487,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
602000065,0,602,11908.84,74.50072,3458.154,41.66667,416.6667,83.33334,12,-2.490008,0.6818081,-1.03963,0.0040501,75,100,100,0,0,7,7,1,34,0,1,0,0,0,4,14,5,4,3,1,1,0.6428571,0.6428571,0,4,11908.84,0,0,0,1,0,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
602000065,1,602,7526.116,89.37848,1288.922,366.9725,0,103.9755,9,-2.933119,-0.9416304,-2.622477,0.6420977,50,88.09524,0,0,0,0,0,1,34,0,1,0,0,0,4,14,5,4,3,1,1,0.6428571,0.6428571,0,4,11908.84,0,0,0,1,0,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
602000066,0,602,6988.423,69.58064,2426.968,195.8333,0,116.6667,8,,0.7302451,-4.339163,-0.9927276,66.66667,100,100,0,0,0,0,1,32,0,1,0,7,0,6,7,2,4,1,0,0,0.8571429,0.4285714,0,0,6988.423,1,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
602000066,1,602,8226.031,59.78493,2529.383,365.6983,0,61.16208,11,-1.916639,-1.995823,-2.560382,-0.4188865,100,98.80952,88.88889,0,0,0,0,1,32,0,1,0,7,0,6,7,2,4,1,0,0,0.8571429,0.4285714,0,0,6988.423,1,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
602000067,0,602,9615.04,62.50666,3948.54,800,175,500,11,,,,-0.2745962,0,100,100,0,0,10,10,1,28,0,1,0,4,0,2,3,1,1,1,0,0,0.6666667,0.3333333,0,0,9615.04,0,0,0,1,0,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
602000067,1,602,,,,,,,,,,,,,,,,,,,1,28,0,1,0,4,0,2,3,1,1,1,0,0,0.6666667,0.3333333,0,0,9615.04,0,0,0,1,0,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
602000070,0,602,13102.33,76.00936,4272.5,150,183.3333,666.6667,10,,,,0.2763315,100,100,100,0,0,6,6,1,47,0,0,1,7,0,1,7,2,3,1,1,0,0.7142857,0.4285714,0,0,13102.33,0,0,1,1,0,3,2,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1
602000070,1,602,26361.81,68.11214,6279.4,1172.273,1855.25,101.9368,10,0.2248568,-0.8852106,-0.4094549,0.5475981,100,93.87755,62.5,0,0,50,50,1,47,0,0,1,7,0,1,7,2,3,1,1,0,0.7142857,0.4285714,0,0,13102.33,0,0,1,1,0,3,2,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1
