hhcode,year,location,expenditure,food,micro,education1,education2,health,diversity,stunting,wasting,schooling,enrolled,illness1,illness2,treated,head_age,elderly,head_sex,head_married,head_educ,head_sick,ovc,hhsize,age_5under,age_0617,age_1834,age_3549,age_5064,depend_ratio,sex_ratio,adult_educ,non_active,initial_exp,agriculture,salaried,casual,self,transfers,rooms,land,livestock,water,bike,radio,phone,mosquito,road,market,communication,electricity,district1,district2,district3,district4,district5,district6,sample_nutrition,sample_education
101000023,0,101,7537.934,2684.6,433,0,383.3333,116.6667,5,,,.9605547,80,93.42538,85.71429,1,52,0,1,0,0,1,5,7,0,5,1,0,1,.7142857,.4285714,0,2,7537.934,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
101000023,1,101,9356.84,3495.78,741.5291,764.526,563.2008,10.19368,7,,,.9951729,100,100,100,1,52,0,1,0,0,1,5,7,0,5,1,0,1,.7142857,.4285714,0,2,7537.934,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
101000024,0,101,13930.22,6213.55,736.1,2750,1333.333,333.3333,8,-1.612298,.4096763,1.103815,75,96.71269,88.88889,1,52,0,1,0,2,1,4,10,3,4,2,0,1,.7,.6,2,2,13930.22,0,1,0,0,1,3,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1
101000024,1,101,21633.63,10082.15,2118.655,2803.262,2079.511,224.261,9,.3248713,1.32255,1.063286,100,97.5,75,1,52,0,1,0,2,1,4,10,3,4,2,0,1,.7,.6,2,2,13930.22,0,1,0,0,1,3,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1
101000025,0,101,12868.56,9660.23,3095.95,375,0,100,12,,,.9107198,100,93.42538,50,1,45,0,0,1,12,0,0,4,0,2,1,1,0,.5,.5,2,1,12868.56,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000025,1,101,11488.44,7733.088,2251.07,489.2966,20.38736,30.58104,11,,,1.296558,100,73.21429,40,1,45,0,0,1,12,0,0,4,0,2,1,1,0,.5,.5,2,1,12868.56,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000026,0,101,17042.03,8183.7,3810.4,0,216.6667,960,11,,,,,100,100,1,49,0,0,1,2,0,1,7,4,0,2,1,0,.5714286,.4285714,1,0,17042.03,0,0,0,1,0,1,2,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0
101000026,1,101,11826.4,5693.884,1800.856,713.5576,159.0214,0,11,.1779737,-2.735628,,,100,100,1,49,0,0,1,2,0,1,7,4,0,2,1,0,.5714286,.4285714,1,0,17042.03,0,0,0,1,0,1,2,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0
101000027,0,101,8321.947,2667.28,649.5,2583.333,333.3333,750,6,-1.737687,-.4453,.1450688,100,99.17817,88.88889,1,45,0,1,0,11,0,3,9,1,3,4,1,0,.4444444,.6666667,5,3,8321.947,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1
101000027,1,101,8057.187,5164.22,1165.26,509.684,198.7768,20.38736,9,1.538193,-.385296,1.302901,100,100,100,1,45,0,1,0,11,0,3,9,1,3,4,1,0,.4444444,.6666667,5,3,8321.947,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1
101000030,0,101,16570.93,4853.93,1169.1,30,225,0,5,,,.8000726,60,100,100,1,42,0,0,1,10,0,1,8,0,5,1,2,0,.625,.375,2,1,16570.93,1,0,0,0,0,3,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1
101000030,1,101,23772.21,9878.227,1721.407,107.0336,25.4842,1529.052,9,,,.8824273,100,83.67347,75,1,42,0,0,1,10,0,1,8,0,5,1,2,0,.625,.375,2,1,16570.93,1,0,0,0,0,3,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1
